Manufacturer,Model_Name,Category,Screen_Size_Inches,Screen,CPU,Cpu_Brands,RAM_GB,Storage,Type of storage,GPU,Gpu_Brand_Name,OS,Operating_System_Version,Weight,Price_Euros
Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,Intel,16.0,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,3.42kg,"2884,86"
Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,16.0,512GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.63kg,"1468,00"
Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,2.9kg,"2122,00"
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,Intel,6.0,1TB HDD,HDD,Nvidia GeForce GTX 940M,Nvidia,Windows,10,2.8kg,"649,00"
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,Intel,8.0,2TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,No OS,,2.2kg,"549,00"
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.5kg,"1265,00"
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 930M,Nvidia,Windows,10,2.2kg,"1043,00"
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.3kg,"819,00"
MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,2.8kg,"2099,00"
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,Intel,4.0,1TB HDD,HDD,Nvidia GeForce 920MX,Nvidia,Windows,10,2.79kg,"589,00"
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.7kg,"1049,90"
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,32.0,1TB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.06kg,"2639,00"
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.7kg,"1199,00"
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,"999,00"
Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.9kg,"1049,00"
Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2kg,"1142,75"
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,Intel,8.0,1TB HDD,HDD,Nvidia GeForce 930MX ,Nvidia,Windows,10,2.1kg,"716,00"
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  2TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.4kg,"1129,00"
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,512GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.06kg,"2027,42"
MSI,GP72MVR 7RFX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.7kg,"1409,00"
HP,Zbook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,2.6kg,"1738,27"
Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,Intel,16.0,512GB SSD,SSD,Nvidia GeForce 930M,Nvidia,Windows,10,2.4kg,"1403,00"
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8.0,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.65kg,"999,00"
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,Intel,6.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 940MX,Nvidia,Windows,10,2.8kg,"719,00"
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 920MX ,Nvidia,No OS,,2.2kg,"499,00"
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,No OS,,2.4kg,"809,00"
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,12.0,512GB SSD +  2TB HDD,SSD,Nvidia GeForce GT 940MX,Nvidia,Windows,10,2.26kg,"1099,00"
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Linux,,2.4kg,"846,00"
HP,Omen 17-w212nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3.35kg,"1191,00"
Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.3kg,"1655,00"
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.5kg,"1099,00"
Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,Intel,8.0,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,2kg,"2135,00"
Asus,Rog GL753VD-GC042T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3kg,"1039,00"
Asus,Rog GL753VE-GC070T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,3kg,"1591,00"
Acer,Aspire 5,Notebook,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,Intel,12.0,1TB HDD,HDD,Nvidia GeForce MX130,Nvidia,Windows,10,2.2kg,"693,99"
MSI,Leopard GP72M,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.7kg,"1349,00"
Dell,Precision M5520,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,1.78kg,"2712,00"
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.9kg,"1529,00"
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Linux,,2.5kg,"879,00"
MSI,GE73VR 7RF,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,2.8kg,"2249,00"
Lenovo,ThinkPad P51,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,512GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,2.67kg,"1925,00"
Lenovo,Thinkpad T470p,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,512GB SSD,SSD,Nvidia GeForce GT 940MX,Nvidia,Windows,10,1.7kg,"1943,00"
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,512GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2kg,"1899,00"
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,Intel,8.0,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,Linux,,2.3kg,"597,00"
Dell,Alienware 17,Gaming,17.3,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,4.42kg,"2799,00"
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.62kg,"1159,00"
HP,Omen 17-w207nv,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,12.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,3.35kg,"1999,00"
Lenovo,Thinkpad T570,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,Intel,16.0,512GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.3kg,"2445,00"
Lenovo,Thinkpad P51,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,Intel,16.0,512GB SSD,SSD,Nvidia Quadro M2200M,Nvidia,Windows,10,2.5kg,"2449,00"
HP,Omen 15-AX205na,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.2kg,"1099,00"
Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,1.64kg,"1179,00"
Dell,Precision 3520,Workstation,15.6,Full HD 1920x1080,Intel Xeon E3-1505M V6 3GHz,Intel,8.0,64GB Flash Storage +  1TB HDD,Flash,Nvidia Quadro M620,Nvidia,Windows,10,2.23kg,"1993,00"
MSI,GV62 7RD-1686NL,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.2kg,"1027,74"
Dell,Precision 3520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,Intel,16.0,256GB SSD,SSD,Nvidia Quadro M620,Nvidia,Windows,10,2.17kg,"1975,00"
Dell,Alienware 17,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.7GHz,Intel,8.0,1TB HDD,HDD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,4.42kg,"2046,00"
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,Intel,4.0,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.23kg,"544,00"
Lenovo,Thinkpad P51,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,Intel,8.0,256GB SSD,SSD,Nvidia Quadro M2200M,Nvidia,Windows,10,2.67kg,"2090,00"
Acer,Aspire 5,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,Intel,4.0,500GB HDD,HDD,Nvidia GeForce GTX 940MX,Nvidia,Windows,10,2.2kg,"469,00"
HP,Omen 17-an006nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,12.0,1TB HDD,HDD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.78kg,"1699,00"
Dell,Precision M5520,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,1.78kg,"2408,00"
Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8.0,512GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.16kg,"1262,00"
Dell,Precision 3520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,Intel,16.0,512GB SSD,SSD,Nvidia Quadro M620,Nvidia,Windows,10,2.17kg,"2338,00"
Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,512GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.06kg,"1899,00"
Lenovo,Thinkpad E570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.3kg,"1011,99"
Asus,VivoBook Pro,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,1.99kg,"1350,00"
Asus,Rog G752VL-UH71T,Gaming,17.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,Intel,24.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 965M,Nvidia,Windows,10,4.33kg,"1269,00"
Acer,Aspire A515-51G-59QF,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,4.0,1TB HDD,HDD,Nvidia GeForce MX150,Nvidia,Windows,10,2.2kg,"613,00"
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,No OS,,2.4kg,"1149,00"
Acer,Aspire A515-51G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,4.0,500GB HDD,HDD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.2kg,"639,00"
Xiaomi,Mi Notebook,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,16.0,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,No OS,,1.95kg,"1399,95"
Asus,ROG Zephyrus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,24.0,512GB SSD,SSD,Nvidia GeForce GTX1080,Nvidia,Windows,10,2.24kg,"2968,00"
HP,Probook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,2.04kg,"889,00"
Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX1050 Ti,Nvidia,Windows,10,3kg,"1504,00"
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.2kg,"1399,00"
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,4.0,1TB HDD,HDD,Nvidia GeForce 920MX,Nvidia,Windows,10,2.2kg,"799,00"
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,Intel,8.0,2TB HDD,HDD,Nvidia GeForce 920MX ,Nvidia,No OS,,2.2kg,"459,00"
Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,4.42kg,"3012,77"
Asus,Zenbook UX510UW-FI095T,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7500U 2.7GHz,Intel,8.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 960M,Nvidia,Windows,10,2kg,"1299,00"
Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.3kg,"1649,00"
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,1.93kg,"1369,00"
HP,Omen 15-ce006nv,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,12.0,1TB HDD,HDD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.62kg,"1799,00"
Lenovo,Thinkpad E470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8.0,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.87kg,"859,00"
Acer,Aspire 7,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8.0,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Linux,,2.4kg,"798,00"
Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,4.42kg,"2699,00"
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8.0,1TB HDD,HDD,Nvidia GeForce 930MX,Nvidia,Windows,10,2.63kg,"1280,00"
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,Intel,6.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.8kg,"949,00"
Lenovo,Thinkpad P71,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia Quadro M620M,Nvidia,Windows,10,3.4kg,"2999,00"
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,"839,00"
HP,ZBook 17,Workstation,17.3,1600x900,Intel Core i5 7440HQ 2.8GHz,Intel,8.0,500GB HDD,HDD,Nvidia Quadro M1200,Nvidia,Windows,10,3.14kg,"1860,99"
Lenovo,IdeaPad Y910-17ISK,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,Intel,32.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,4.6kg,"2663,00"
MSI,GT73VR Titan,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,Intel,16.0,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,4.14kg,"2729,00"
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,Intel,16.0,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,1.93kg,"1537,39"
MSI,GT80S 6QE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,Intel,16.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 980M,Nvidia,Windows,10,4.5kg,"2349,00"
HP,Omen 17-AN010nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3.78kg,"1498,00"
Asus,ROG Strix,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.73kg,"1770,00"
Samsung,Notebook Odyssey,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,"1699,00"
Dell,Precision 3520,Workstation,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8.0,256GB SSD,SSD,Nvidia Quadro M620,Nvidia,Windows,10,2.06kg,"1763,00"
MSI,Laptop MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,Intel,16.0,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 970M,Nvidia,Windows,10,4.14kg,"2199,00"
MSI,GS63VR 7RF,Gaming,15.6,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16.0,256GB SSD +  2TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,1.8kg,"2299,00"
Lenovo,Thinkpad P51,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Xeon E3-1535M v6 3.1GHz,Intel,32.0,1TB SSD,SSD,Nvidia Quadro M2200M,Nvidia,Windows,10,2.5kg,"4899,00"
